thread,ht,func,L1-dcache-load-misses,L1-dcache-loads,cycles,instructions,
1,0,fast,7871314,222050795,503854347,1394272987,
1,0,slow_a,7872473,2695806161,2537924946,6653021523,
1,0,slow_b,7873191,1190823205,3280080325,4613045835,
1,0,slow_c,7888625,1690909341,9898071128,5113024631,
1,0,slow_d,7926699,4691029214,26346571954,11613032589,
1,0,slow_e,502822503,690843732,8565803395,5113064634,
1,0,slow_f,7870752,222054390,824421766,2206798713,
2,1,fast,7871346,222051577,772109238,1414278488,
2,1,slow_a,7878063,2695815554,2804158172,6673025628,
2,1,slow_b,15710131,1190828461,3550486843,4633063471,
2,1,slow_c,7891905,1690826505,10133939631,5133028574,
2,1,slow_d,7922485,4690880970,26571279559,11633054925,
2,1,slow_e,502797315,690843739,8753353650,5133069066,
2,1,slow_f,7875283,222067262,1080033367,2226824388,
2,0,fast,7875683,222052582,820420701,1414280266,
2,0,slow_a,7883147,2695812360,2812766270,6673029688,
2,0,slow_b,124968435,1190866844,13652223298,4633066316,
2,0,slow_c,756179268,1691105879,108955554118,5133060472,
2,0,slow_d,707907177,5127820160,95281114053,14774448508,
2,0,slow_e,628053913,690877057,14967775427,5133071304,
2,0,slow_f,7882853,222063504,1077245499,2226824273,
